"City, Country"
"Georgetown, Ascension Island"
"Georgetown, Guyana"
"Gibraltar, Gibraltar"
"Grozny, Chechnya"
"Guatemala City, Guatemala"
"Gustavia, Saint Barth‚lemy"
"Hag†t¤a, Guam"
"Hamilton, Bermuda"
"Hanga Roa, Easter Island"
"Hanoi, Vietnam"
"Harare, Zimbabwe"
"Hargeisa, Somaliland"
"Havana, Cuba"
"Helsinki, Finland"
"Hong Kong, Hong Kong"
"Honiara, Solomon Islands"
"Islamabad, Pakistan"
"Jakarta, Indonesia"
"Jamestown, Saint Helena"
"Jerusalem, Israel"
"Juba, South Sudan"
"Kabul, Afghanistan"
"Kampala, Uganda"
"Kathmandu, Nepal"
"Khartoum, Sudan"
"Kiev, Ukraine"
"Kigali, Rwanda"
"King Edward Point, South Georgia and the South Sandwich Islands"
"Kingston, Jamaica"
"Kingston, Norfolk Island"
"Kingstown, Saint Vincent and the Grenadines"
"Kinshasa, Democratic Republic of the Congo"
"Kuala Lumpur, Malaysia"
"Kuwait City, Kuwait"
"Libreville, Gabon"
"Lilongwe, Malawi"
"Lima, Peru"
"Lisbon, Portugal"
"Ljubljana, Slovenia"
"Lom‚, Togo"
"London, United Kingdom"
"Luanda, Angola"
"Lusaka, Zambia"
"Luxembourg, Luxembourg"
"Madrid, Spain"
"Majuro, Marshall Islands"
"Malabo, Equatorial Guinea"
"Mal‚, Maldives"
"Mamoudzou, Mayotte"
"Managua, Nicaragua"
"Manama, Bahrain"
"Manila, Philippines"
"Maputo, Mozambique"
"Marigot, Saint Martin"
"Maseru, Lesotho"
"Mata-Utu, Wallis and Futuna"
"Mbabane, Swaziland"
"Mexico City, Mexico"
"Minsk, Belarus"
"Mogadishu, Somalia"
"Monaco, Monaco"
"Monrovia, Liberia"
"Montevideo, Uruguay"
"Moroni, Comoros"
"Moscow, Russia"
"Muscat, Oman"
"Nairobi, Kenya"
"Nassau, Bahamas"
"Naypyidaw, Myanmar"
"N'Djamena, Chad"
"New Delhi, India"
"Ngerulmud, Palau"
"Niamey, Niger"
"Nicosia, Cyprus"
"Nicosia, Northern Cyprus"
"Nouakchott, Mauritania"
"Noum‚a, New Caledonia"
"Nuku?alofa, Tonga"
"Nuuk, Greenland"
"Oranjestad, Aruba"
"Oslo, Norway"
"Ottawa, Canada"
"Ouagadougou, Burkina Faso"
"Pago Pago, American Samoa"
"Palikir, Federated States of Micronesia"
"Panama City, Panama"
"Papeete, French Polynesia"
"Paramaribo, Suriname"
"Paris, France"
"Philipsburg, Sint Maarten"
"Phnom Penh, Cambodia"
"Plymouth, Montserrat"
"Podgorica, Montenegro"
"Port Louis, Mauritius"
"Port Moresby, Papua New Guinea"
"Port Vila, Vanuatu"
"Port-au-Prince, Haiti"
"Port of Spain, Trinidad and Tobago"
"Porto-Novo, Benin"
"Prague, Czech Republic"
"Praia, Cape Verde"
"Pretoria, South Africa"
"Pristina, Kosovo[g]"
"Pyongyang, North Korea"
"Quito, Ecuador"
"Rabat, Morocco"
"Ramallah, State of Palestine"
"Reykjav¡k, Iceland"
"Riga, Latvia"
"Riyadh, Saudi Arabia"
"Road Town, British Virgin Islands"
"Rome, Italy"
"Roseau, Dominica"
"Saint-Denis, R‚union"
"Saipan, Northern Mariana Islands"
"San Jos‚, Costa Rica"
"San Juan, Puerto Rico"
"San Marino, San Marino"
"San Salvador, El Salvador"
"Sana'a, Yemen"
"Santiago, Chile"
"Santo Domingo, Dominican Republic"
"S?o Tom‚, S?o Tom‚ and Pr¡ncipe"
"Sarajevo, Bosnia and Herzegovina"
"Seoul, South Korea"
"Singapore, Singapore"
"Skopje, Republic of Macedonia"
"Sofia, Bulgaria"
"Sri Jayawardenepura Kotte, Sri Lanka"
"St. George's, Grenada"
"St. Helier, Jersey"
"St. John's, Antigua and Barbuda"
"St. Peter Port, Guernsey"
"St. Pierre, Saint Pierre and Miquelon"
"Stanley, Falkland Islands"
"Stepanakert, Artsakh"
"Stockholm, Sweden"
"Sucre, Bolivia"
"Sukhumi, Abkhazia"
"Suva, Fiji"
"Taipei, Taiwan"
"Tallinn, Estonia"
"Tarawa, Kiribati"
"Tashkent, Uzbekistan"
"Tbilisi, Georgia"
"Tegucigalpa, Honduras"
"Tehran, Iran"
"Thimphu, Bhutan"
"Tirana, Albania"
"Tiraspol, Transnistria"
"Tokyo, Japan"
"T¢rshavn, Faroe Islands"
"Tripoli, Libya"
"Tskhinvali, South Ossetia"
"Tunis, Tunisia"
"Ulaanbaatar, Mongolia"
"Vaduz, Liechtenstein"
"Valletta, Malta"
"The Valley, Anguilla"
"Vatican City, Vatican City"
"Victoria, Seychelles"
"Vienna, Austria"
"Vientiane, Laos"
"Vilnius, Lithuania"
"Warsaw, Poland"
"Washington, D.C., United States"
"Wellington, New Zealand"
"West Island, Cocos (Keeling) Islands"
"Willemstad, Cura‡ao"
"Windhoek, Namibia"
"Yamoussoukro, Ivory Coast"
"Yaound‚, Cameroon"
"Yaren, Nauru"
"Yerevan, Armenia"
"Zagreb, Croatia"
